Book Name,Author,Description,Listening Time,Ranks and Genre,Number of Reviews,Rating,Price
"""Don't You Know Who I Am?"": How to Stay Sane in an Era of Narcissism, Entitlement, and Incivility",Ramani S. Durvasula PhD,,Unknown,Unknown,170.0,4.8,836.0
#Girlboss,Sophia Amoruso,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,2272.0,4.5,615.0
"#TheRealCinderella: #BestFriendsForever Series, Book 1",Yesenia Vargas,"Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping",-1,-1,179.0,4.3,586.0
10 Bedtime Stories For Little Kids,div.,"By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.",-1,-1,238.0,0.0,376.0
10 Essential Pieces of Literature,Khalil Gibran,This Audiobook contains the following works:,87 hours and 44 minutes,",#759 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#40 in Classic Literature,#777 in Classic Fiction (Books)",238.0,0.0,32.0
10 Essential Success Mantras from the Bhagavad Gita (Rupa Quick Reads),Vimla Patil,"For thousands of years, the Bhagavad Gita has inspired millions of saints, leaders, scientists, philosophers and ordinary people around the world. In this quick read, Vimla Patil draws valuable success mantras from the philosophical text that are sure to take your life to the next level.",26 minutes,",#3,076 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#45 in Hinduism (Audible Audiobooks & Originals),#57 in Forecasting & Strategic Planning,#136 in Leadership",45.0,4.2,233.0
10 Judgements That Changed India,Zia Mody,,Unknown,Unknown,221.0,4.4,502.0
10 Masterpieces You Have to Read Before You Die 1,Jane Austen,This Audiobook contains the following works :,102 hours and 19 minutes,",#1,485 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#4 in Caribbean & Latin American Literature,#6 in English, Irish, Scottish & Welsh Literature,#77 in Classic Literature",344.0,4.4,401.0
10 Minutes 38 Seconds in This Strange World,Elif Shafak,Shortlisted for the Booker Prize 2019,9 hours and 11 minutes,",#221 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Friendship Fiction,#3 in Women's Fiction,#3 in Political Fiction",520.0,4.5,752.0
10 Skills for Effective Business Communication: Practical Strategies from the World's Greatest Leaders,Jessica Higgins JD MBA BB,Succeed in business with practical career strategies and communication skills from the world’s greatest leaders in 10 Skills for Effective Business Communication.,-1,-1,45.0,4.6,501.0
10 Steps to Earning Awesome Grades (While Studying Less),Thomas Frank,,Unknown,Unknown,266.0,4.6,335.0
100 Baggers: Stocks That Return 100-to-1 and How to Find Them,Christopher W. Mayer,"This book is about 100-baggers. These are stocks that return $100 for every $1 invested. That means a $10,000 investment turns into $1 million. Chris Mayer can help you find them.",6 hours and 19 minutes,",#2,004 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#184 in Money & Finance,#4,461 in Business & Economics",178.0,4.5,668.0
100 Desi Stories to Inspire You,Madhur Zakir Hallegua,,Unknown,Unknown,7.0,4.8,668.0
100 Side Hustles: Unexpected Ideas for Making Extra Money Without Quitting Your Day Job,Chris Guillebeau,,Unknown,Unknown,165.0,4.6,1005.0
100 Tips to Crack the IIT,Paras Arora,,Unknown,Unknown,132.0,4.2,1005.0
1000 essential words in Tamil: I Listen. I Repeat. I Speak.,J. M. Gardner,,Unknown,Unknown,238.0,0.0,225.0
1000+ Little Things Happy Successful People Do Differently,Marc Chernoff,New York Times best-selling authors Marc and Angel Chernoff deliver instant inspiration and powerful advice for becoming our best selves.,8 hours and 50 minutes,",#719 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#128 in Personal Success,#1,706 in Personal Development & Self-Help",210.0,4.7,1005.0
101 Amazing Facts About Trees,Jack Goldstein,How can you use a tree as a compass? What on earth makes maple trees explode? Where is the tallest tree in the world? And how can a tree own itself?,35 minutes,",#29,657 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#3 in Audiobooks on Flowers & Trees for Children,#36 in Botany & Plants,#14,830 in Children's Science, Nature & Technology (Books)",1.0,5.0,152.0
101 Amazing Facts About William Shakespeare,Jack Goldstein,Did you know that Shakespeare introduced thousands of words into the English language? Do you know what unusual item he left to his wife in his will? Have you heard of the conspiracy theory that suggests Shakespeare didn't write the plays we attribute to him today?,26 minutes,",#29,653 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#191 in Historical Biographies,#248 in Literary History & Criticism,#19,105 in Literary Theory, History & Criticism",238.0,0.0,152.0
101 Amazing Facts About the Royal Family,Jack Goldstein,"Are you a fan of the modern generation of royals? How much do you know about the lives of Prince William; his wife, Catherine, Duchess of Cambridge; and the rest of the royal family?",30 minutes,",#29,652 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#39 in Biographies of Royalty,#48,605 in Biographies & Autobiographies (Books),#422,865 in Textbooks & Study Guides",15.0,2.6,152.0
101 Animals Stories,Dreamland Publications,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,560.0,4.3,233.0
101 Bedtime Stories,Dreamland Publications,,Unknown,Unknown,461.0,3.9,233.0
101 Best Indian Fables for Children,Stuti Gupta,Would you like to meet the ferocious king of the jungle? How about listening to the story of the cunning fox that talks its way out of tricky situations? Wonder what the little monkey is doing with the looking glass? Or what the peacock and crow are fighting over?,2 hours and 26 minutes,",#3,958 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#42 in Fairy Tales, Folk Tales & Myths for Children,#255 in Literature & Fiction for Children,#1,094 in Children's Traditional Stories (Books)",23.0,3.7,233.0
101 Essays That Will Change the Way You Think,Brianna Wiest,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,104.0,4.55,586.0
101 Fairy Tales Book,Dreamland Publications,"This volume is a collection of the most memorable fairy tales for young learners. Short and easy adaptations of stories invite young minds to enjoy the world of fantasy, dreams, fairies, elves, princesses, knights, demons and magicians. Popular tales like Cinderella, Beauty and the Beast, Snow White and the Seven Dwarfs, Thumbelina, Sleeping Beauty, Alice in Wonderland, Aladdin, Pinocchio, Peter Pan and more introduce listeners to these cherished characters through a simple and easy-to-follow retelling. Favourites from the animal kingdom are presented in tales like The Jungle Book, Goldilocks and the Three Bears, The Monkey and the Crab, Three Naughty Little Rabbits, Bambi and others.",-1,-1,386.0,4.3,233.0
101 Great Answers to the Toughest Interview Questions,Ron Fry,,Unknown,Unknown,9.0,4.6,398.0
101 Jungle Stories,Om Books International,,Unknown,Unknown,47.0,3.9,233.0
101 Panchatantra Stories,Om Books International,"The Panchatantra is a collection of short stories from India, written more than 5,000 years ago! This is a collection of stories from that legendary collection. The stories inculcate moral values in children in a subtle and fun manner. Enjoy the stories, where plants and animals can converse with human beings too!",2 hours and 26 minutes,",#1,059 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#10 in Contemporary Fiction (Audible Audiobooks & Originals),#16 in Fiction Short Stories,#451 in Short Stories (Books)",237.0,4.1,233.0
101 Panchtantra Stories,Dreamland Publications,"The Panchatantra is a collection of short stories from India, which was written mainly for children more than 2,000 years ago. This book contains a few hand-picked stories from that legendary collection.",1 hour and 41 minutes,",#536 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#8 in Fairy Tales, Folk Tales & Myths for Children,#30 in Literature & Fiction for Children,#184 in Children's Traditional Stories (Books)",1625.0,4.3,233.0
101 Power Thoughts,Louise L. Hay,"Sample Thought: I CAN RELEASE THE PAST AND FORGIVE EVERYONE. I free myself and everyone in my life from old, past hurts. They are free and I am free to move into new, glorious experiences.",-1,-1,173.0,4.4,257.0
101 Zen Stories,Paul Beck,,Unknown,Unknown,238.0,0.0,70.0
11 Hours: A Romantic Thriller,Daniel Paul Singh,,Unknown,Unknown,457.0,4.2,668.0
"12 Months to $1 Million: How to Pick a Winning Product, Build a Real Business, and Become a Seven-Figure Entrepreneur",Ryan Daniel Moran,"Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping",-1,-1,201.0,4.8,668.0
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,,Unknown,Unknown,14042.0,4.6,1093.0
13 Kaam Jo Samajhdar Log Nahi Karte [13 Commonwealth Games],Amy Morin,"This book helps us identify 13 common habits that hold us back in life and talks about how to avoid them by using strength, adopting change, facing our fears and training our minds.",8 hours and 18 minutes,",#559 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#43 in Psychology (Audible Audiobooks & Originals),#6,206 in Textbooks & Study Guides",238.0,0.0,668.0
13 Steps to Bloody Good Luck,Ashwin Sanghi,The journey of life isn't exactly easy. Some people make it through hard work and talent. Some fall by the wayside. And some people are just plain lucky. They are blessed with Bloody Good Luck! But is it possible to attract good luck? Can we train ourselves to be lucky? Apparently it seems that Dame Luck isn't that fickle. She is well within our reach.,-1,-1,686.0,4.2,501.0
13 Steps to Bloody Good Wealth,Ashwin Sanghi,The only way to become wealthy is by being born wealthy. Right? Wrong!,4 hours and 20 minutes,",#3,141 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#29 in Indian Literature (Audible Audiobooks & Originals),#101 in Personal Finance,#437 in Personal Success",319.0,4.3,501.0
"13 Things Mentally Strong Parents Don't Do: Raising Self-Assured Children and Training Their Brains for a Life of Happiness, Meaning, and Success",Amy Morin,,Unknown,Unknown,150.0,4.6,12356.0
"13 Things Mentally Strong People Don't Do: Take Back Your Power, Embrace Change, Face Your Fears, and Train Your Brain for Happiness and Success",Amy Morin,"Everyone knows that regular exercise and weight training lead to physical strength. But how do we strengthen ourselves mentally for the truly tough times? And what should we do when we face these challenges? Or as psychotherapist Amy Morin asks, what should we avoid when we encounter adversity? Through her years counseling others and her own experiences navigating personal loss, Morin realized it is often the habits we cannot break that are holding us back from true success and happiness. Indulging in self-pity or agonizing over things beyond our control, obsessing over past events, resenting the achievements of others, or expecting immediate positive results all hold us back.",6 hours and 36 minutes,",#1,977 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#59 in Business Motivation & Self-Improvement,#291 in Personal Success,#3,126 in Analysis & Strategy",1365.0,4.6,10378.0
14,Peter Clines,,Unknown,Unknown,811.0,4.3,836.0
