Book Name,Author,Description,Listening Time,Ranks and Genre,Number of Reviews,Rating,Price,Genre,Genre_Count,Clean_Description,Clean_Title,Clean_Author,Clean_Genre,Log_Reviews,Popularity,Weighted_Rating,Author_Popularity,Log_Author_Popularity,Description_Length,Description_Characters,Book_Length,Rating_Category,Price_Category,Rating_Normalized,Reviews_Normalized,Price_Normalized,Popularity_Normalized,combined_features
"""Don't You Know Who I Am?"": How to Stay Sane in an Era of Narcissism, Entitlement, and Incivility",Ramani S. Durvasula PhD,,Unknown,Unknown,170.0,4.8,836.0,Unknown,0,,don t you know who i am how to stay sane in an era of narcissism entitlement and incivility,ramani s durvasula phd,unknown,5.14166355650266,24.67998507121277,4.185891135401654,170.0,5.14166355650266,0,0,Short,Excellent,Moderate,0.96,0.4250909067069489,0.04570803717878622,0.4841342108743573,don t you know who i am how to stay sane in an era of narcissism entitlement and incivility ramani s durvasula phd unknown
#Girlboss,Sophia Amoruso,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,2272.0,4.5,615.0,Unknown,0,sorry we just need to make sure you re not a robot for best results please make sure your browser is accepting cookies,girlboss,sophia amoruso,unknown,7.728855823852543,34.77985120733644,4.393403680832759,2272.0,7.728855823852543,22,122,Short,Excellent,Moderate,0.9,0.6723175804583531,0.03362493165664297,0.6822579418101719,girlboss sophia amoruso unknown sorry we just need to make sure you re not a robot for best results please make sure your browser is accepting cookies
"#TheRealCinderella: #BestFriendsForever Series, Book 1",Yesenia Vargas,"Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping",-1,-1,179.0,4.3,586.0,Unknown,0,oops it s rush hour and traffic is piling up on that page please try again in a short while if you were trying to place an order it will not have been processed at this time go to the amazon in home page to continue shopping,therealcinderella bestfriendsforever series book 1,yesenia vargas,unknown,5.19295685089021,22.329714458827905,4.086279011773404,179.0,5.19295685089021,44,229,Medium,Good,Moderate,0.86,0.4299923864760482,0.0320393657736468,0.43803019561725953,therealcinderella bestfriendsforever series book 1 yesenia vargas unknown oops it s rush hour and traffic is piling up on that page please try again in a short while if you were trying to place an order it will not have been processed at this time go to the amazon in home page to continue shopping
10 Bedtime Stories For Little Kids,div.,"By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.",-1,-1,238.0,0.0,376.0,Unknown,0,by completing your purchase you agree to audible s conditions of use amazon s privacy notice and if applicable audible s recurring payment terms,10 bedtime stories for little kids,div,unknown,5.476463551931511,0.0,2.9656687438192675,1428.0,7.264730177929867,21,147,Short,Low,Budget,0.0,0.45708369297429685,0.020557681793329688,0.0,10 bedtime stories for little kids div unknown by completing your purchase you agree to audible s conditions of use amazon s privacy notice and if applicable audible s recurring payment terms
10 Essential Pieces of Literature,Khalil Gibran,This Audiobook contains the following works:,87 hours and 44 minutes,",#759 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#40 in Classic Literature,#777 in Classic Fiction (Books)",238.0,0.0,32.0,Audible Audiobooks & Originals | Classic Literature | Classic Fiction (Books),3,this audiobook contains the following works,10 essential pieces of literature,khalil gibran,audible audiobooks originals classic literature classic fiction books,5.476463551931511,0.0,2.9656687438192675,1889.0,7.5443321080536885,6,44,Short,Low,Budget,0.0,0.45708369297429685,0.0017495899398578458,0.0,10 essential pieces of literature khalil gibran audible audiobooks originals classic literature classic fiction books this audiobook contains the following works
10 Essential Success Mantras from the Bhagavad Gita (Rupa Quick Reads),Vimla Patil,"For thousands of years, the Bhagavad Gita has inspired millions of saints, leaders, scientists, philosophers and ordinary people around the world. In this quick read, Vimla Patil draws valuable success mantras from the philosophical text that are sure to take your life to the next level.",26 minutes,",#3,076 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#45 in Hinduism (Audible Audiobooks & Originals),#57 in Forecasting & Strategic Planning,#136 in Leadership",45.0,4.2,233.0,Audible Audiobooks & Originals | Hinduism (Audible Audiobooks & Originals) | Forecasting & Strategic Planning | Leadership,4,for thousands of years the bhagavad gita has inspired millions of saints leaders scientists philosophers and ordinary people around the world in this quick read vimla patil draws valuable success mantras from the philosophical text that are sure to take your life to the next level,10 essential success mantras from the bhagavad gita rupa quick reads,vimla patil,audible audiobooks originals hinduism audible audiobooks originals forecasting strategic planning leadership,3.828641396489095,16.0802938652542,4.039539078878674,45.0,3.828641396489095,46,288,Medium,Good,Budget,0.8400000000000001,0.2996212594454614,0.012739201749589939,0.31543861791728617,10 essential success mantras from the bhagavad gita rupa quick reads vimla patil audible audiobooks originals hinduism audible audiobooks originals forecasting strategic planning leadership for thousands of years the bhagavad gita has inspired millions of saints leaders scientists philosophers and ordinary people around the world in this quick read vimla patil draws valuable success mantras from the philosophical text that are sure to take your life to the next level
10 Judgements That Changed India,Zia Mody,,Unknown,Unknown,221.0,4.4,502.0,Unknown,0,,10 judgements that changed india,zia mody,unknown,5.402677381872279,23.771780480238032,4.1213934541525195,221.0,5.402677381872279,0,0,Short,Good,Budget,0.8800000000000001,0.45003284112118547,0.027446692181519957,0.4663184418738773,10 judgements that changed india zia mody unknown
10 Masterpieces You Have to Read Before You Die 1,Jane Austen,This Audiobook contains the following works :,102 hours and 19 minutes,",#1,485 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#4 in Caribbean & Latin American Literature,#6 in English, Irish, Scottish & Welsh Literature,#77 in Classic Literature",344.0,4.4,401.0,"Audible Audiobooks & Originals | Caribbean & Latin American Literature | English, Irish, Scottish & Welsh Literature | Classic Literature",4,this audiobook contains the following works,10 masterpieces you have to read before you die 1,jane austen,audible audiobooks originals caribbean latin american literature english irish scottish welsh literature classic literature,5.84354441703136,25.711595434937987,4.155390086235099,10015.0,9.211939093339879,7,45,Short,Good,Budget,0.8800000000000001,0.4921611715296046,0.02192454893384363,0.504370765634452,10 masterpieces you have to read before you die 1 jane austen audible audiobooks originals caribbean latin american literature english irish scottish welsh literature classic literature this audiobook contains the following works
10 Minutes 38 Seconds in This Strange World,Elif Shafak,Shortlisted for the Booker Prize 2019,9 hours and 11 minutes,",#221 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Friendship Fiction,#3 in Women's Fiction,#3 in Political Fiction",520.0,4.5,752.0,Audible Audiobooks & Originals | Friendship Fiction | Women's Fiction | Political Fiction,4,shortlisted for the booker prize 2019,10 minutes 38 seconds in this strange world,elif shafak,audible audiobooks originals friendship fiction women s fiction political fiction,6.255750041753367,28.15087518789015,4.235669938281233,3292.0,8.099554282376364,6,37,Short,Excellent,Moderate,0.9,0.5315506775928815,0.041115363586659376,0.5522208261142196,10 minutes 38 seconds in this strange world elif shafak audible audiobooks originals friendship fiction women s fiction political fiction shortlisted for the booker prize 2019
10 Skills for Effective Business Communication: Practical Strategies from the World's Greatest Leaders,Jessica Higgins JD MBA BB,Succeed in business with practical career strategies and communication skills from the world’s greatest leaders in 10 Skills for Effective Business Communication.,-1,-1,45.0,4.6,501.0,Unknown,0,succeed in business with practical career strategies and communication skills from the world s greatest leaders in 10 skills for effective business communication,10 skills for effective business communication practical strategies from the world s greatest leaders,jessica higgins jd mba bb,unknown,3.828641396489095,17.611750423849838,4.064926949118448,45.0,3.828641396489095,22,162,Short,Excellent,Budget,0.9199999999999999,0.2996212594454614,0.0273920174958994,0.3454803910522658,10 skills for effective business communication practical strategies from the world s greatest leaders jessica higgins jd mba bb unknown succeed in business with practical career strategies and communication skills from the world s greatest leaders in 10 skills for effective business communication
