Genre_List,Number_of_Books
Personal Success,200
Personal Development & Self-Help,156
Analysis & Strategy,121
Textbooks & Study Guides,119
Classic Literature,84
Leadership,77
Literary Fiction,70
"Crime, Thriller & Mystery (Books)",63
Biographies & Autobiographies (Books),59
Contemporary Fiction (Books),58
Classic Fiction (Books),51
Historical Fiction,48
Psychology,48
Contemporary Romance,47
Business Management,46
"Mind, Body & Spirit",45
Business Careers,43
Personal Finance,42
Romance (Books),42
Meditation,42
