Genre_List,Average_Rating,Book_Count,Total_Reviews
20th Century Historical Romance,4.55,2,1803.0
Absurdist Fiction,4.8,1,5.0
Abusive Relationships,4.8,1,12.0
Acting & Auditioning,4.6,2,651.0
Action & Adventure (Books),4.5,3,4586.0
Action & Adventure Anthologies & Short Stories,4.6,1,132.0
Action & Adventure Fantasy,4.571428571428571,7,13443.0
Action & Adventure Fantasy for Children,4.7,8,19220.0
Action & Adventure Fantasy for Teens,4.6,2,2889.0
Action & Adventure Fiction,4.375,4,15022.0
Action & Adventure Fiction for Teens,4.6,1,3712.0
Action & Adventure Mysteries for Children,4.6000000000000005,4,611.0
Action & Adventure Sci-Fi for Teens,,1,0.0
Action & Adventure for Children,4.666666666666667,3,6972.0
Action Thriller Fiction,4.4399999999999995,5,3567.0
Active & Outdoor,4.0,1,9.0
Addiction & Recovery,4.4,1,369.0
Adolescent Psychology,4.6,1,497.0
Adult & Continuing Education,4.0,1,7.0
Adult Collections & Anthologies,3.433333333333333,9,87.0
Adventure Science Fiction,4.64,10,67483.0
Adventure Travel,4.1,2,112.0
Adventurers & Explorers for Children,4.8,1,851.0
"Adventurers, Explorers & Survival Biographies",4.333333333333333,3,3500.0
Advertising,4.55,2,411.0
African American Demographic Studies,4.6000000000000005,3,5040.0
African American History,4.5,3,1599.0
African American Literature,4.511111111111111,9,20279.0
Ageing Health,4.6000000000000005,6,3713.0
Agnosticism,4.5,3,1925.0
Agnosticism (Books),4.5,1,15.0
Alphabet Reference,3.8,1,16.0
Alternate History Science Fiction,4.366666666666667,3,6359.0
Alternative & Complementary Medicine,4.663636363636363,12,11028.0
Amateur Sleuth Mysteries,4.5,5,12449.0
Analysis & Strategy,4.453982300884956,121,87038.0
Anatomy & Physiology,4.533333333333333,3,2840.0
Ancient & Classical Literature Collections,4.25,3,1333.0
Ancient & Classical Roman History,4.2,2,2042.0
Ancient Historical Fiction for Children,4.7,2,318.0
Ancient History,4.58,6,2887.0
Ancient History (Books),4.666666666666667,5,217.0
"Ancient, Classical & Medieval Poetry",4.45,2,284.0
Angels & Spirit Guides,4.566666666666666,4,465.0
Anger Management,4.4,1,354.0
Animal Action & Adventure for Children,4.36,5,2526.0
Animal Fiction,4.65,2,4885.0
Animal Fiction for Children,4.51,13,7294.0
Animals,4.65,5,3304.0
Animals for Children,4.8,6,118.0
Anthologies & Short Stories for Children,4.5,2,142.0
Anthologies (Books),4.266666666666667,16,12214.0
Anthropology,4.483333333333333,6,30786.0
Anthropology (Books),4.449999999999999,2,20236.0
Anxiety Disorders,4.5125,8,2354.0
Apes & Monkeys Fiction for Children,3.65,2,20.0
Archaeology,4.7,1,1423.0
Architecture,4.449999999999999,2,1939.0
Art,4.6,3,1284.0
Art History & Criticism,4.8,1,6.0
Art Instruction & Technique,4.6,1,1791.0
Art for Teens,4.449999999999999,2,1498.0
Art of Storytelling,4.55,2,593.0
Asia Politics & Government,4.199999999999999,2,128.0
Asia Travel & Tourism,4.333333333333333,3,328.0
Asian History,4.46,5,1716.0
Asian History (Books),4.4125,8,1210.0
Asian History for Children,4.4,1,291.0
Asian Literature,4.328571428571428,9,657.0
Astrology,4.6,1,32.0
Astrology (Books),4.6,1,32.0
Astronomy,4.427272727272728,12,17495.0
Astronomy (Books),4.3,7,11803.0
Atheism,4.6000000000000005,3,7157.0
Atheism (Books),4.7,1,2797.0
Atmospheric Sciences,4.5,1,969.0
Attention Deficit Disorders,4.4,1,300.0
Audiobook Beginner Readers for Children,4.8,1,74.0
Audiobooks on Bedtime & Dreaming for Children,2.5,2,2.0
Audiobooks on Diseases for Children,4.5,1,624.0
Audiobooks on Family Life for Children,4.666666666666667,3,15784.0
Audiobooks on Flowers & Trees for Children,5.0,1,1.0
Audiobooks on Health for Children,4.5,1,243.0
Audiobooks on Law & Crime for Children,4.5,1,38.0
Audiobooks on Siblings for Teens,4.4,1,2655.0
Authorship,4.6,1,515.0
Automation & Robotics,4.3999999999999995,3,920.0
BDSM Erotica,,1,0.0
Banks & Banking,4.39,10,2395.0
Banks & Banking (Books),4.425,4,483.0
Baseball (Books),4.6000000000000005,3,2004.0
Bears Fiction for Children,4.7,1,900.0
Bible Study Guides,4.6,1,117.0
Bibles,4.4,1,994.0
Biblical Fiction,4.8,1,317.0
Biographical Fiction,4.3,1,861.0
Biographies & Autobiographies (Books),4.415094339622642,59,66311.0
Biographies & Memoirs,4.427272727272728,28,35129.0
Biographies of Activists,4.5,5,11082.0
Biographies of Actors,4.15,2,242.0
"Biographies of Artists, Architects & Photographers",,1,0.0
Biographies of Authors,4.36,11,3806.0
Biographies of Business Leaders,4.457692307692308,27,25409.0
Biographies of Celebrities & Entertainment Professionals,4.384615384615385,13,9271.0
Biographies of Comedians,4.7,2,2290.0
Biographies of Composers & Musicians,4.2,1,7.0
Biographies of Politicians,4.4818181818181815,11,15720.0
Biographies of Presidents & Heads of State,4.5,5,1856.0
Biographies of Religious Figures,4.433333333333334,3,702.0
Biographies of Royalty,3.9,3,134.0
Biographies of Science & Technology Leaders,4.4818181818181815,11,14008.0
"Biographies, Diaries & True Accounts",4.1,1,63.0
Biological & Chemical Warfare,4.6,1,202.0
Biological Sciences,4.553333333333333,16,7660.0
Biology,4.5181818181818185,11,8787.0
Biology Books,4.578571428571428,15,10238.0
Biotechnology,4.55,2,1775.0
Bodybuilding & Weightlifting,4.8,2,5732.0
Botany & Plants,4.766666666666667,3,2096.0
Brain & Nervous System Diseases,4.5,1,722.0
Buddhism,4.642857142857143,7,1906.0
Buddhism (Books),4.516666666666667,12,2975.0
Buddhist Philosophy & Practice,4.627272727272727,11,4639.0
Buddhist Sacred Writings,4.566666666666666,3,209.0
Budgeting,4.65,2,526.0
Bugs & Spiders Fiction for Children,4.6,1,1572.0
Business & Careers,4.2444444444444445,9,8107.0
Business & Economics,4.476470588235294,19,7351.0
Business Careers,4.453846153846153,43,28393.0
Business Communication,4.435294117647059,18,6679.0
Business Consulting,4.633333333333333,3,366.0
Business Decision Making & Problem Solving,4.439130434782609,23,19192.0
Business Development,4.5875,16,6060.0
Business Ethics,4.5,3,1507.0
Business Etiquette,4.4,2,720.0
Business Management,4.473809523809524,46,32660.0
Business Motivation & Self-Improvement,4.515277777777778,36,58232.0
Business Sales,4.545833333333333,26,13375.0
Business Writing,4.475,4,2389.0
Buying & Selling Homes,4.7,1,243.0
C Programming Language,3.6,1,22.0
Canada Travel & Tourism,,1,0.0
Cancer,4.6,1,11526.0
Capitalism,4.5,1,706.0
Caribbean & Latin American Literature,4.566666666666666,4,2664.0
Catholicism,4.9,1,371.0
Celebrity Chefs & Restaurants,4.0,1,5.0
Central Asian History,4.6,2,580.0
Chakras,5.0,1,17.0
Child Psychology,4.62,5,1835.0
Children's Action & Adventure,4.7,7,17928.0
Children's Comics & Graphic Novels,4.6000000000000005,3,1332.0
"Children's Crafts, Hobbies & Practical Interests (Books)",,1,0.0
Children's Crime & Thriller (Books),4.6,1,89.0
"Children's Family, Personal & Social Issues (Books)",4.266666666666667,3,2494.0
Children's Fantasy (Books),4.66,16,34641.0
Children's Health,4.6,1,1330.0
Children's History (Books),4.65,2,778.0
Children's Horror & Ghost Stories (Books),4.55,2,4855.0
Children's Humour (Books),4.6,1,468.0
Children's Literature & Fiction (Books),4.666666666666667,26,44827.0
Children's Mysteries & Curiosities (Books),4.6,1,2456.0
Children's Picture Books (Books),4.9,1,487.0
Children's Reference (Books),3.4000000000000004,2,298.0
Children's Religion (Books),4.6,2,612.0
Children's Science Fiction (Books),4.533333333333334,3,21042.0
"Children's Science, Nature & Technology (Books)",4.95,2,488.0
Children's Sport (Books),4.7,1,1147.0
Children's Studies Social Science,4.2,1,41.0
Children's Traditional Stories (Books),4.081818181818182,14,4110.0
Chinese History,4.3,1,49.0
Christian Apologetics,4.733333333333333,3,1130.0
Christian Classic & Allegorical Fiction,4.7,1,3871.0
Christian Death & Grief,4.7,3,1055.0
Christian Discipleship,4.766666666666667,3,1096.0
Christian Evangelism,4.9,1,736.0
Christian Family,4.5,1,30.0
Christian Marriage & Relationships,4.75,2,16394.0
Christian Ministry & Evangelism,4.9,3,652.0
Christian Romance,4.6,1,16.0
Christian Sermons,4.8,1,508.0
Christian Spiritual Growth,4.742857142857143,7,1713.0
Christian Theology,4.75,2,588.0
Christian Thriller & Suspense,4.633333333333333,3,364.0
Christianity,4.75,2,3434.0
