Book Name,Author,Rating,Number of Reviews
The Girl on the Train,Paula Hawkins,4.0,70122.0
The Fault in Our Stars,John Green,4.5,43869.0
The Nightingale,Kristin Hannah,4.8,40958.0
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy,E. L. James,3.8,38310.0
The Martian,Andy Weir,4.7,33293.0
The Alchemist: A Fable About Following Your Dream,Paulo Coelho,4.6,28237.0
Me Before You,Jojo Moyes,4.6,27040.0
Inferno,Dan Brown,4.4,26244.0
Beneath a Scarlet Sky: A Novel,Mark Sullivan,4.7,24240.0
Grey: Fifty Shades of Grey as told by Christian Grey,E L James,4.3,23485.0
"Outlander: Outlander, Book 1",Diana Gabaldon,4.6,22631.0
Think and Grow Rich,Napoleon Hill,4.45,22448.0
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money - That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.5,22123.0
How to Win Friends and Influence People,Dale Carnegie,4.5,21000.0
Fifty Shades Darker: Book Two of the Fifty Shades Trilogy,E. L. James,4.3,20842.0
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.4,20306.0
The Hunger Games: Special Edition,Suzanne Collins,4.7,20196.0
Sapiens,Yuval Noah Harari,4.6,20163.0
To Kill a Mockingbird,Harper Lee,4.5,20053.0
Educated,Tara Westover,4.7,19643.0
