Book Name,Author,Rating,Rating_Filled,Number of Reviews,Log Reviews,Price,Description,Genre,Ranks and Genre,Audible Rank,Listening Time,Listening Time Minutes,Data_Source,Has_Description,Has_Genre,Has_Listening_Time,Book_Name_Key,Author_Key,Review_Group,Description_Length
"13 Things Mentally Strong Parents Don't Do: Raising Self-Assured Children and Training Their Brains for a Life of Happiness, Meaning, and Success",Amy Morin,4.6,4.6,150.0,5.017279836814924,12356.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,"13 things mentally strong parents don't do: raising self-assured children and training their brains for a life of happiness, meaning, and success",amy morin,51-200,0
"13 Things Mentally Strong People Don't Do: Take Back Your Power, Embrace Change, Face Your Fears, and Train Your Brain for Happiness and Success",Amy Morin,4.6,4.6,1365.0,7.219642040130735,10378.0,"Everyone knows that regular exercise and weight training lead to physical strength. But how do we strengthen ourselves mentally for the truly tough times? And what should we do when we face these challenges? Or as psychotherapist Amy Morin asks, what should we avoid when we encounter adversity? Through her years counseling others and her own experiences navigating personal loss, Morin realized it is often the habits we cannot break that are holding us back from true success and happiness. Indulging in self-pity or agonizing over things beyond our control, obsessing over past events, resenting the achievements of others, or expecting immediate positive results all hold us back.",Business Motivation & Self-Improvement | Personal Success | Analysis & Strategy,",#1,977 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#59 in Business Motivation & Self-Improvement,#291 in Personal Success,#3,126 in Analysis & Strategy",1977.0,6 hours and 36 minutes,396.0,Both,1,1,1,"13 things mentally strong people don't do: take back your power, embrace change, face your fears, and train your brain for happiness and success",amy morin,1001+,685
48-Hour Start-Up: From Idea to Launch in 1 Weekend,Fraser Doherty MBE,4.4,4.4,101.0,4.624972813284271,5373.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,48-hour start-up: from idea to launch in 1 weekend,fraser doherty mbe,51-200,0
5 Personal Development Classics: Five All-Time Bestsellers,Napoleon Hill,,4.5,0.0,0.0,1759.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,5 personal development classics: five all-time bestsellers,napoleon hill,0-50,0
A Clash of Kings: Book 2 of A Song of Ice and Fire,George R. R. Martin,4.6,4.6,6923.0,8.8427489162961,18149.0,"The complete, unabridged audiobook of A Clash of Kings.",Military Fantasy | Dragon & Mythical Creatures Fantasy | Epic Fantasy,",#187 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Military Fantasy,#2 in Dragon & Mythical Creatures Fantasy,#7 in Epic Fantasy",187.0,37 hours and 12 minutes,2232.0,Both,1,1,1,a clash of kings: book 2 of a song of ice and fire,george r. r. martin,1001+,55
A Dance with Dragons: Book 5 of A Song of Ice and Fire,George R. R. Martin,4.4,4.4,10368.0,9.246575864558276,18149.0,"The complete, unabridged audiobook of A Dance with Dragons.","Fantasy Movie, TV & Video Game Tie-Ins | Movie, TV & Video Game Tie-In Fiction | Action & Adventure Fiction",",#1,086 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Fantasy Movie, TV & Video Game Tie-Ins,#6 in Movie, TV & Video Game Tie-In Fiction,#22 in Action & Adventure Fiction",1086.0,48 hours and 53 minutes,2933.0,Both,1,1,1,a dance with dragons: book 5 of a song of ice and fire,george r. r. martin,1001+,59
A Feast for Crows: Book 4 of A Song of Ice and Fire,George R. R. Martin,4.4,4.4,6389.0,8.762489547371581,18149.0,"The complete, unabridged audiobook of A Feast for Crows.",Unknown,Unknown,,Unknown,,Both,1,0,0,a feast for crows: book 4 of a song of ice and fire,george r. r. martin,1001+,56
A Fine Balance,Rohinton Mistry,4.5,4.5,1294.0,7.166265974133638,1673.0,"With a compassionate realism and narrative sweep that recall the work of Charles Dickens, this magnificent novel captures all the cruelty and corruption, dignity and heroism, of India. The time is 1975. The place is an unnamed city by the sea. The government has just declared a State of Emergency, in whose upheavals four strangers - a spirited widow, a young student uprooted from his idyllic hill station, and two tailors who have fled the caste violence of their native village - will be thrust together, forced to share one cramped apartment and an uncertain future.",Fiction Sagas | Historical Fiction | Literary Fiction,",#1,636 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#15 in Fiction Sagas,#49 in Historical Fiction (Audible Audiobooks & Originals),#100 in Literary Fiction",1636.0,25 hours and 49 minutes,1549.0,Both,1,1,1,a fine balance,rohinton mistry,1001+,571
A Game of Thrones: Book 1 of A Song of Ice and Fire,George R. R. Martin,4.7,4.7,12923.0,9.466841326944389,18149.0,Unknown,Unknown,Unknown,,Unknown,,Both,0,0,0,a game of thrones: book 1 of a song of ice and fire,george r. r. martin,1001+,0
A House Without Windows: A Novel,Nadia Hashimi,4.5,4.5,323.0,5.780743515792329,14334.0,"A vivid, unforgettable story of an unlikely sisterhood - an emotionally powerful and haunting tale of friendship that illuminates the plight of women in a traditional culture from the author of the best-selling The Pearl That Broke Its Shell and When the Moon Is Low.",Family Life Fiction | Women's Fiction | World Literature,",#4,823 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#69 in Family Life Fiction,#104 in Women's Fiction,#125 in World Literature (Audible Audiobooks & Originals)",4823.0,15 hours and 39 minutes,939.0,Both,1,1,1,a house without windows: a novel,nadia hashimi,201-500,267
