Book Name,Author,Rating,Rating_Filled,Number of Reviews,Log Reviews,Price,Description,Genre,Ranks and Genre,Audible Rank,Listening Time,Listening Time Minutes,Data_Source,Has_Description,Has_Genre,Has_Listening_Time,Book_Name_Key,Author_Key,Review_Group,Description_Length
#Girlboss,Sophia Amoruso,4.5,4.5,2272.0,7.728855823852543,615.0,Unknown,Unknown,Unknown,,Unknown,,Both,0,0,0,#girlboss,sophia amoruso,1001+,0
101 Panchtantra Stories,Dreamland Publications,4.3,4.3,1625.0,7.3938782901077555,233.0,"The Panchatantra is a collection of short stories from India, which was written mainly for children more than 2,000 years ago. This book contains a few hand-picked stories from that legendary collection.","Fairy Tales, Folk Tales & Myths for Children | Literature & Fiction for Children | Children's Traditional Stories (Books)",",#536 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#8 in Fairy Tales, Folk Tales & Myths for Children,#30 in Literature & Fiction for Children,#184 in Children's Traditional Stories (Books)",536.0,1 hour and 41 minutes,101.0,Both,1,1,1,101 panchtantra stories,dreamland publications,1001+,203
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,4.6,4.6,14042.0,9.54987932996818,1093.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,12 rules for life: an antidote to chaos,jordan b. peterson,1001+,0
1984,George Orwell,4.5,4.5,17140.0,9.749228533507058,797.0,"George Orwell's nightmare vision of a dystopian world has become more apt in these modern, chaotic times. Casting a pall of oppressive dread from the very first sentence, this classic audiobook takes hold of your imagination and stays with you long after the last four words are uttered.",Dystopian Science Fiction | Political Fiction | Literary Fiction,",#130 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Dystopian Science Fiction,#1 in Political Fiction,#4 in Literary Fiction",130.0,12 hours and 19 minutes,739.0,Both,1,1,1,1984,george orwell,1001+,287
21 Lessons for the 21st Century,Yuval Noah Harari,4.4,4.4,2836.0,7.950502434808851,1093.0,Brought to you by Penguin.,Political Science History & Theory | United States Politics & Government | Political Theory,",#14 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Political Science History & Theory,#1 in United States Politics & Government,#1 in Political Theory",14.0,11 hours and 41 minutes,701.0,Both,1,1,1,21 lessons for the 21st century,yuval noah harari,1001+,26
48 Laws of Power,Robert Greene,4.4,4.4,2121.0,7.660114319173928,820.0,"Amoral, cunning, ruthless, and instructive, this piercing work distills 3,000 years of the history of power into 48 well-explicated laws. This bold volume outlines the laws of power in their unvarnished essence, synthesizing the philosophies of Machiavelli, Sun Tzu, Carl von Clausewitz, and other infamous strategists. The 48 Laws of Power will fascinate any listener interested in gaining, observing, or defending against ultimate control.",Ethics & Morality Philosophy | Political Science History & Theory | Political Theory,",#140 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Ethics & Morality Philosophy,#2 in Political Science History & Theory,#23 in Political Theory",140.0,23 hours and 6 minutes,1386.0,Both,1,1,1,48 laws of power,robert greene,1001+,441
61 Hours: Jack Reacher 14,Lee Child,4.5,4.5,3446.0,8.145259566516865,1093.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,61 hours: jack reacher 14,lee child,1001+,0
A Beginner's Guide to the Stock Market: Everything You Need to Start Making Money Today,Matthew R. Kratter,4.4,4.4,2080.0,7.640603826393634,233.0,"Learn to make money in the stock market, even if you've never traded before.",Stocks | Analysis & Strategy | Textbooks & Study Guides,",#158 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#4 in Stocks,#305 in Analysis & Strategy,#1,924 in Textbooks & Study Guides",158.0,1 hour and 42 minutes,102.0,Both,1,1,1,a beginner's guide to the stock market: everything you need to start making money today,matthew r. kratter,1001+,76
A Brief History of Time: From Big Bang to Black Holes,Stephen Hawking,4.6,4.6,5391.0,8.592671652592143,888.0,Brought to you by Penguin.,Physics | Cosmology | Astronomy,",#87 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Physics (Audible Audiobooks & Originals),#1 in Cosmology,#1 in Astronomy (Audible Audiobooks & Originals)",87.0,6 hours and 57 minutes,417.0,Both,1,1,1,a brief history of time: from big bang to black holes,stephen hawking,1001+,26
A Clash of Kings: Book 2 of A Song of Ice and Fire,George R. R. Martin,4.6,4.6,6923.0,8.8427489162961,18149.0,"The complete, unabridged audiobook of A Clash of Kings.",Military Fantasy | Dragon & Mythical Creatures Fantasy | Epic Fantasy,",#187 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Military Fantasy,#2 in Dragon & Mythical Creatures Fantasy,#7 in Epic Fantasy",187.0,37 hours and 12 minutes,2232.0,Both,1,1,1,a clash of kings: book 2 of a song of ice and fire,george r. r. martin,1001+,55
