Book Name,Author,Genre,Rating,Number of Reviews,Similarity_Score
Should I Stay or Should I Go?: Surviving a Relationship with a Narcissist,Ramani Durvasula PhD,Unknown,4.8,321.0,0.6192016121569089
If I Stay,Gayle Forman,Unknown,4.3,5759.0,0.15211108065189782
"Coping with Critical, Demanding, and Dysfunctional Parents: Powerful Strategies to Help Adult Children Maintain Boundaries and Stay Sane",David M. Allen MD,Audible Audiobooks & Originals | Parent & Adult Children Relationships | Dysfunctional Family Relationships | Abusive Relationships,4.8,12.0,0.14827698933904687
Everything I Know About Love,Dolly Alderton,Unknown,4.5,1394.0,0.14650363432583433
Rethinking Narcissism: The Bad - and Surprising Good - About Feeling Special,Dr. Craig Malkin,Unknown,4.6,257.0,0.1288348389460516
"Procrastination: Why You Do It, What to Do About It Now",Jane B. Burka PhD,Unknown,4.4,128.0,0.12875425985811112
Unmasking Narcissism: A Guide to Understanding the Narcissist in Your Life,Mark Ettensohn Psy.D,Unknown,4.5,133.0,0.12795866537701922
"Too Good to Leave, Too Bad to Stay: Decide Whether to Stay In or Get Out of Your Relationship",Mira Kirshenbaum,Unknown,4.4,804.0,0.1191044993179247
Don't Let Him Know,Sandip Roy,Unknown,4.0,49.0,0.11818497552758883
Talking to Strangers: What We Should Know About the People We Don’t Know,Malcolm Gladwell,"Society & Culture (Books) | Sciences, Technology & Medicine (Books) | Personal Development & Self-Help",4.5,4327.0,0.11531021121769094
