Book Name,Author,Rating,Rating_Filled,Number of Reviews,Log Reviews,Price,Description,Genre,Ranks and Genre,Audible Rank,Listening Time,Listening Time Minutes,Data_Source,Has_Description,Has_Genre,Has_Listening_Time,Book_Name_Key,Author_Key,Review_Group,Description_Length
Sherlock Holmes: The Definitive Collection,Arthur Conan Doyle,5.0,5.0,6.0,1.9459101490553128,3037.0,"Now updated to include Chapter Name Information, so you can easily find your favourite story or novel","Private Investigator Mysteries | Crime, Thriller & Mystery (Books)",",#15 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Private Investigator Mysteries,#14 in Crime, Thriller & Mystery (Books)",15.0,71 hours and 57 minutes,4317.0,Both,1,1,1,sherlock holmes: the definitive collection,arthur conan doyle,0-50,101
Blasphemy: The Trial of Danesh Masih,Osman Haneef,4.9,4.9,13.0,2.6390573296152584,668.0,"A Christian boy in Pakistan is accused of blasphemy - a crime punishable by death. Haunted by a tragic past, a young lawyer named Sikander Ghaznavi returns to Pakistan after many years abroad and takes on the defence of the boy. He reaches out to the sharpest human rights lawyer he knows - the woman he has loved for years, but now another man’s wife. As they deal with their unresolved feelings, the lawyers confront a corrupt system, a town turned against them, and a prophecy that predicts their death. Will they save the boy? Or will the city of Quetta, its prejudice inflamed by religious extremists, consume them and deliver them to a deadly fate?","Legal Thrillers | Crime, Thriller & Mystery (Books)",",#2,186 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#6 in Legal Thrillers,#3,292 in Crime, Thriller & Mystery (Books)",2186.0,7 hours and 15 minutes,435.0,Both,1,1,1,blasphemy: the trial of danesh masih,osman haneef,0-50,654
Thunderhead: Arc of a Scythe,Neal Shusterman,4.8,4.8,1451.0,7.280697195384741,836.0,"Rowan and Citra take opposite stances on the morality of the Scythedom, putting them at odds, in the chilling sequel to the Printz Honor Book Scythe from New York Times best seller Neal Shusterman, author of the Unwind dystology.",Mystery & Detective Fiction for Teens | Thrillers & Suspense for Teens | Art for Teens,",#3,363 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Mystery & Detective Fiction for Teens,#3 in Thrillers & Suspense for Teens,#4 in Art for Teens",3363.0,13 hours and 2 minutes,782.0,Advanced Only,1,1,1,thunderhead: arc of a scythe,neal shusterman,1001+,229
Nightshade,Anthony Horowitz,4.8,4.8,502.0,6.220590170099739,645.0,"Following the shocking events of Never Say Die, Alex Rider's world has changed: his biggest enemy, the evil organization Scorpia, has been destroyed. Alex is hoping his life can finally go back to normal, that he can go to school and spend time with his friends - but very quickly everything changes. A new and dangerous criminal organisation - Nightshade - is rising.",Thriller & Suspense Stories for Children | Action & Adventure Mysteries for Children | Mysteries for Children,",#4,035 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#9 in Thriller & Suspense Stories for Children,#34 in Action & Adventure Mysteries for Children,#35 in Mysteries for Children",4035.0,10 hours and 7 minutes,607.0,Both,1,1,1,nightshade,anthony horowitz,501-1000,368
The Harbinger II: The Return,Jonathan Cahn,4.8,4.8,317.0,5.762051382780177,586.0,Are the unprecedented crises of our times the signs and warnings of coming judgment? Does an ancient mystery hold the secret to the events of our times and the future of America and the world? Is this mystery even behind the shakings that have now overtaken the world and America? How much time do we have left?,Biblical Fiction | Christian Thriller & Suspense | Religious & Spiritual Fiction,",#1,149 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Biblical Fiction,#1 in Christian Thriller & Suspense,#116 in Religious & Spiritual Fiction",1149.0,10 hours and 14 minutes,614.0,Both,1,1,1,the harbinger ii: the return,jonathan cahn,201-500,311
Hunting November,Adriana Mather,4.8,4.8,89.0,4.499809670330265,1382.0,"Surviving a few weeks at the world's most lethal boarding school was one thing. But now comes the real test: Can November Adley find her missing father before her enemies find her? Subterfuge is the name of the game in this thrilling sequel to Killing November, from the number one New York Times best-selling author of How to Hang a Witch.",Mystery & Detective Fiction for Teens | Historical Fiction for Teens | Thrillers & Suspense for Teens,",#3,984 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#5 in Mystery & Detective Fiction for Teens,#5 in Historical Fiction for Teens,#6 in Thrillers & Suspense for Teens",3984.0,12 hours and 40 minutes,760.0,Both,1,1,1,hunting november,adriana mather,51-200,340
More of Poirot's Finest Cases: Seven Full-Cast BBC Radio Dramatisations,Agatha Christie,4.8,4.8,12.0,2.5649493574615367,1093.0,John Moffat stars as the great Belgian detective Hercule Poirot in seven more BBC Radio 4 full-cast dramatisations.,Mystery Anthologies & Short Stories | Crime Fiction | Short Stories (Books),",#452 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Mystery Anthologies & Short Stories,#9 in Crime Fiction,#176 in Short Stories (Books)",452.0,13 hours and 27 minutes,807.0,Both,1,1,1,more of poirot's finest cases: seven full-cast bbc radio dramatisations,agatha christie,0-50,115
Bad Blood,John Carreyrou,4.7,4.7,4679.0,8.451053388911692,323.0,A New York Times best seller.,White Collar & Corporate True Crime | True Accounts (Books) | Business & Careers,",#340 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in White Collar & Corporate True Crime,#79 in True Accounts (Books),#79 in Business & Careers",340.0,11 hours and 36 minutes,696.0,Both,1,1,1,bad blood,john carreyrou,1001+,29
The Da Vinci Code,Dan Brown,4.7,4.7,3836.0,8.252446090246952,1435.0,"A murder in the silent, late night halls of the Louvre reveals a sinister plot to uncover a secret that has been protected by a clandestine society since the days of Christ. The victim is a high-ranking agent of this ancient society who, in the moments before his death, manages to leave gruesome clues at the scene that only his cryptographer daughter and her symbologist friend can untangle. The duo becomes both suspects and detectives searching not only for the murderer, but also the stunning secret he was charged to protect.","Suspense | Religious & Spiritual Fiction | Crime, Thriller & Mystery (Books)",",#162 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Suspense,#23 in Religious & Spiritual Fiction,#144 in Crime, Thriller & Mystery (Books)",162.0,16 hours and 39 minutes,999.0,Both,1,1,1,the da vinci code,dan brown,1001+,531
"The Last Coyote: Harry Bosch Series, Book 4",Michael Connelly,4.7,4.7,2175.0,7.685243607975833,1005.0,"With the spare time a suspension brings, Harry opens up the 30-year-old file on the case and is irresistibly drawn into a past he has always avoided. It's clear that the case was fumbled and the smell of a cover-up is unmistakable. Someone powerful was able to divert justice and Harry vows to uncover the truth. As he relentlessly follows the broken pieces of the case, the stirred interest causes new murders and pushes Harry to the edge of his job...and his life.",Hard-Boiled Mysteries | Police Procedural Mysteries | Crime Thrillers,",#4,642 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#5 in Hard-Boiled Mysteries,#18 in Police Procedural Mysteries,#71 in Crime Thrillers",4642.0,13 hours and 26 minutes,806.0,Both,1,1,1,"the last coyote: harry bosch series, book 4",michael connelly,1001+,466
