Author,Books,Average_Rating,Total_Reviews,Average_Reviews
OSHO,32,4.484615384615385,192.0,6.0
Harvard Business Review,32,4.461290322580646,2821.0,88.15625
Devdutt Pattanaik,29,4.272413793103448,7374.0,254.27586206896552
Ruskin Bond,28,4.507407407407407,6773.0,241.89285714285714
Innovative Language Learning,28,3.8666666666666663,1827.0,65.25
Rick Riordan,26,4.684615384615385,67515.0,2596.730769230769
Agatha Christie,24,4.5095238095238095,6754.0,281.4166666666667
Brian Tracy,22,4.470588235294118,5183.0,235.5909090909091
Robin Sharma,20,4.444444444444445,20173.0,1008.65
Georgette Heyer,20,4.515789473684211,6032.0,301.6
