Author,Books,Average_Rating,Total_Reviews,Average_Reviews
The Great Courses,6,5.0,5.0,0.8333333333333334
Hypnosis Live,3,5.0,1.0,0.3333333333333333
Jim Rohn,6,4.95,95.0,15.833333333333334
Tracey West,3,4.866666666666667,1633.0,544.3333333333334
Tui T. Sutherland,9,4.855555555555556,10414.0,1157.111111111111
Victor Appleton,3,4.85,10.0,3.3333333333333335
Anodea Judith,3,4.8,1567.0,522.3333333333334
Joyce Meyer,3,4.8,1178.0,392.6666666666667
Bill Johnson,3,4.8,969.0,323.0
Watchman Nee,3,4.8,819.0,273.0
