Book Name,Author,Rating,Rating_Filled,Number of Reviews,Log Reviews,Price,Description,Genre,Ranks and Genre,Audible Rank,Listening Time,Listening Time Minutes,Data_Source,Has_Description,Has_Genre,Has_Listening_Time,Book_Name_Key,Author_Key
Awaking Wonder: Opening Your Child's Heart to the Beauty of Learning,Sally Clarkson,5.0,5.0,209.0,5.3471075307174685,586.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,awaking wonder: opening your child's heart to the beauty of learning,sally clarkson
F*cking History: 111 Lessons You Should Have Learned in School,The Captain,5.0,5.0,185.0,5.225746673713202,754.0,"History that doesn't suck: Smart, crude, and hilariously relevant to modern life.",Love & Romance | Humour (Books) | Family & Relationships,",#152 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Love & Romance,#45 in Humour (Books),#70 in Family & Relationships",152.0,4 hours and 7 minutes,247.0,Both,1,1,1,f*cking history: 111 lessons you should have learned in school,the captain
"Raven’s Hart: Haven Hart Series, Book 7",Davidson King,5.0,5.0,37.0,3.6375861597263857,586.0,"Haven Hart stands on the edge of good and evil. Having balance between the two is the only thing keeping the town from crumbling to the ground. For years, one man has been charged with maintaining that balance - Poe.",Unknown,Unknown,,Unknown,,Both,1,0,0,"raven’s hart: haven hart series, book 7",davidson king
The Fish Who Found the Sea,Alan Watts,5.0,5.0,30.0,3.4339872044851463,258.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,the fish who found the sea,alan watts
Stop Making Sense: The Art of Inspiring Anybody,Michael J. Fanuele,5.0,5.0,28.0,3.367295829986474,844.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,stop making sense: the art of inspiring anybody,michael j. fanuele
The Book of Esports: The Definitive Guide to Competitive Video Games,William Collis,5.0,5.0,25.0,3.258096538021482,586.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,the book of esports: the definitive guide to competitive video games,william collis
The Master Key System Audiobook - All 28 Parts,Charles F. Haanel,5.0,5.0,21.0,3.091042453358316,668.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,the master key system audiobook - all 28 parts,charles f. haanel
"Energy Healing for Trauma, Stress & Chronic Illness: Uncover & Transform the Subtle Energies that Are Causing Your Greatest Hardships",Cyndi Dale,5.0,5.0,17.0,2.8903717578961645,703.0,"Combining insights from mainstream science, psychology, and subtle healing modalities, this book provides a truly holistic approach to recovery. Renowned author and spiritual healer Cyndi Dale shares an impressive array of techniques for resolving challenging energetic and spiritual issues. Trauma and pain caused by environmental, physical, psychological, and spiritual forces can have major effects on every aspect of your life. Join Cyndi as she shows how to align with spirit guides, work with the chakras, locate hidden inner wounds, release other peoples' energies, and much more. You will also discover information related to the vagus nerve, mast cells, epigenetics, psychoneuroimmunology, and transgenerational inheritance so that you will have a deep understanding of the physical processes that are affected by energetic and emotional trauma.",Chakras | Stress Management | Spirituality (Books),",#3,474 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Chakras,#44 in Stress Management,#601 in Spirituality (Books)",3474.0,10 hours and 11 minutes,611.0,Both,1,1,1,"energy healing for trauma, stress & chronic illness: uncover & transform the subtle energies that are causing your greatest hardships",cyndi dale
"Naked and Unafraid: 5 Keys to Abandon Smallness, Overcome Criticism, and Be All You Are Meant to Be",Kevin Gerald,5.0,5.0,17.0,2.8903717578961645,500.0,"It's time to live a vulnerable and expansive life, to not let self-criticism or the criticism of others determine who you are or what you do.",Unknown,Unknown,,Unknown,,Advanced Only,1,0,0,"naked and unafraid: 5 keys to abandon smallness, overcome criticism, and be all you are meant to be",kevin gerald
Coming Home to Yourself: A Meditator's Guide to Blissful Living,Osho,5.0,5.0,16.0,2.833213344056216,754.0,"A beautiful collection of mindfulness exercises for grounding, relaxation, and finding inner peace, from legendary spiritual guru Osho.",Meditation | Spirituality (Books) | Meditation (Books),",#4,193 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#98 in Meditation (Audible Audiobooks & Originals),#727 in Spirituality (Books),#755 in Meditation (Books)",4193.0,4 hours and 4 minutes,244.0,Both,1,1,1,coming home to yourself: a meditator's guide to blissful living,osho
