Book Name,Author,Rating,Rating_Filled,Number of Reviews,Log Reviews,Price,Description,Genre,Ranks and Genre,Audible Rank,Listening Time,Listening Time Minutes,Data_Source,Has_Description,Has_Genre,Has_Listening_Time,Book_Name_Key,Author_Key
"""Don't You Know Who I Am?"": How to Stay Sane in an Era of Narcissism, Entitlement, and Incivility",Ramani S. Durvasula PhD,4.8,4.8,170.0,5.14166355650266,836.0,,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,"""don't you know who i am?"": how to stay sane in an era of narcissism, entitlement, and incivility",ramani s. durvasula phd
#Girlboss,Sophia Amoruso,4.5,4.5,2272.0,7.728855823852543,615.0,,Unknown,Unknown,,Unknown,,Both,0,0,0,#girlboss,sophia amoruso
"#TheRealCinderella: #BestFriendsForever Series, Book 1",Yesenia Vargas,4.3,4.3,179.0,5.19295685089021,586.0,,Unknown,Unknown,,Unknown,,Both,0,0,0,"#therealcinderella: #bestfriendsforever series, book 1",yesenia vargas
10 Bedtime Stories For Little Kids,div.,,4.5,0.0,0.0,376.0,,Unknown,Unknown,,Unknown,,Both,0,0,0,10 bedtime stories for little kids,div.
10 Essential Pieces of Literature,Khalil Gibran,,4.5,0.0,0.0,32.0,This Audiobook contains the following works:,Classic Literature | Classic Fiction (Books),",#759 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#40 in Classic Literature,#777 in Classic Fiction (Books)",759.0,87 hours and 44 minutes,5264.0,Both,1,1,1,10 essential pieces of literature,khalil gibran
10 Essential Success Mantras from the Bhagavad Gita (Rupa Quick Reads),Vimla Patil,4.2,4.2,45.0,3.828641396489095,233.0,"For thousands of years, the Bhagavad Gita has inspired millions of saints, leaders, scientists, philosophers and ordinary people around the world. In this quick read, Vimla Patil draws valuable success mantras from the philosophical text that are sure to take your life to the next level.",Hinduism | Forecasting & Strategic Planning | Leadership,",#3,076 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#45 in Hinduism (Audible Audiobooks & Originals),#57 in Forecasting & Strategic Planning,#136 in Leadership",3076.0,26 minutes,26.0,Both,1,1,1,10 essential success mantras from the bhagavad gita (rupa quick reads),vimla patil
10 Judgements That Changed India,Zia Mody,4.4,4.4,221.0,5.402677381872279,502.0,,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,10 judgements that changed india,zia mody
10 Masterpieces You Have to Read Before You Die 1,Jane Austen,4.4,4.4,344.0,5.84354441703136,401.0,This Audiobook contains the following works :,"Caribbean & Latin American Literature | English, Irish, Scottish & Welsh Literature | Classic Literature",",#1,485 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#4 in Caribbean & Latin American Literature,#6 in English, Irish, Scottish & Welsh Literature,#77 in Classic Literature",1485.0,102 hours and 19 minutes,6139.0,Both,1,1,1,10 masterpieces you have to read before you die 1,jane austen
10 Minutes 38 Seconds in This Strange World,Elif Shafak,4.5,4.5,520.0,6.255750041753367,752.0,Shortlisted for the Booker Prize 2019,Friendship Fiction | Women's Fiction | Political Fiction,",#221 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Friendship Fiction,#3 in Women's Fiction,#3 in Political Fiction",221.0,9 hours and 11 minutes,551.0,Both,1,1,1,10 minutes 38 seconds in this strange world,elif shafak
10 Skills for Effective Business Communication: Practical Strategies from the World's Greatest Leaders,Jessica Higgins JD MBA BB,4.6,4.6,45.0,3.828641396489095,501.0,Succeed in business with practical career strategies and communication skills from the world’s greatest leaders in 10 Skills for Effective Business Communication.,Unknown,Unknown,,Unknown,,Both,1,0,0,10 skills for effective business communication: practical strategies from the world's greatest leaders,jessica higgins jd mba bb
10 Steps to Earning Awesome Grades (While Studying Less),Thomas Frank,4.6,4.6,266.0,5.58724865840025,335.0,,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,10 steps to earning awesome grades (while studying less),thomas frank
100 Baggers: Stocks That Return 100-to-1 and How to Find Them,Christopher W. Mayer,4.5,4.5,178.0,5.187385805840755,668.0,"This book is about 100-baggers. These are stocks that return $100 for every $1 invested. That means a $10,000 investment turns into $1 million. Chris Mayer can help you find them.",Money & Finance | Business & Economics,",#2,004 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#184 in Money & Finance,#4,461 in Business & Economics",2004.0,6 hours and 19 minutes,379.0,Both,1,1,1,100 baggers: stocks that return 100-to-1 and how to find them,christopher w. mayer
100 Desi Stories to Inspire You,Madhur Zakir Hallegua,4.8,4.8,7.0,2.0794415416798357,668.0,,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,100 desi stories to inspire you,madhur zakir hallegua
100 Side Hustles: Unexpected Ideas for Making Extra Money Without Quitting Your Day Job,Chris Guillebeau,4.6,4.6,165.0,5.111987788356544,1005.0,,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,100 side hustles: unexpected ideas for making extra money without quitting your day job,chris guillebeau
100 Tips to Crack the IIT,Paras Arora,4.2,4.2,132.0,4.890349128221754,1005.0,,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,100 tips to crack the iit,paras arora
1000 essential words in Tamil: I Listen. I Repeat. I Speak.,J. M. Gardner,,4.5,0.0,0.0,225.0,,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,1000 essential words in tamil: i listen. i repeat. i speak.,j. m. gardner
1000+ Little Things Happy Successful People Do Differently,Marc Chernoff,4.7,4.7,210.0,5.351858133476067,1005.0,New York Times best-selling authors Marc and Angel Chernoff deliver instant inspiration and powerful advice for becoming our best selves.,Personal Success | Personal Development & Self-Help,",#719 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#128 in Personal Success,#1,706 in Personal Development & Self-Help",719.0,8 hours and 50 minutes,530.0,Advanced Only,1,1,1,1000+ little things happy successful people do differently,marc chernoff
101 Amazing Facts About the Royal Family,Jack Goldstein,2.6,2.6,15.0,2.772588722239781,152.0,"Are you a fan of the modern generation of royals? How much do you know about the lives of Prince William; his wife, Catherine, Duchess of Cambridge; and the rest of the royal family?",Biographies of Royalty | Biographies & Autobiographies (Books) | Textbooks & Study Guides,",#29,652 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#39 in Biographies of Royalty,#48,605 in Biographies & Autobiographies (Books),#422,865 in Textbooks & Study Guides",29652.0,30 minutes,30.0,Both,1,1,1,101 amazing facts about the royal family,jack goldstein
101 Amazing Facts About Trees,Jack Goldstein,5.0,5.0,1.0,0.6931471805599453,152.0,How can you use a tree as a compass? What on earth makes maple trees explode? Where is the tallest tree in the world? And how can a tree own itself?,"Audiobooks on Flowers & Trees for Children | Botany & Plants | Children's Science, Nature & Technology (Books)",",#29,657 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#3 in Audiobooks on Flowers & Trees for Children,#36 in Botany & Plants,#14,830 in Children's Science, Nature & Technology (Books)",29657.0,35 minutes,35.0,Both,1,1,1,101 amazing facts about trees,jack goldstein
