Book Name,Author,Rating,Rating_Filled,Number of Reviews,Price,Description,Genre,Ranks and Genre,Audible Rank,Listening Time,Listening Time Minutes,Data_Source,Has_Description,Has_Genre,Has_Listening_Time,Book_Name_Key,Author_Key,Genre_Count,Primary_Genre,Clean_Title,Clean_Author,Clean_Genre,Clean_Primary_Genre,Clean_Description,Log_Reviews,Popularity_Score,Weighted_Rating,Author_Popularity,Author_Book_Count,Author_Average_Rating,Log_Author_Popularity,Author_Popularity_Normalized,Listening_Time_Hours,Listening_Time_Category,Has_Audible_Rank,Audible_Rank_Score,Log_Price,Price_Normalized,Price_Category,Rating_Normalized,Weighted_Rating_Normalized,Rating_Category,Quality_Score,Popularity_Quality_Score,Description_Length,Description_Characters,Description_Length_Category,Reviews_Normalized,combined_features,metadata_features,Has_Rating
"""Don't You Know Who I Am?"": How to Stay Sane in an Era of Narcissism, Entitlement, and Incivility",Ramani S. Durvasula PhD,4.8,4.8,170.0,836.0,,Unknown,Unknown,,Unknown,0.0,Catalog Only,0,0,0,don t you know who i am how to stay sane in an era of narcissism entitlement and incivility,ramani s durvasula phd,0,Unknown,don t you know who i am how to stay sane in an era of narcissism entitlement and incivility,ramani s durvasula phd,unknown,unknown,,5.14166355650266,0.460804869644425,4.5267825372765556,170.0,1,4.8,5.14166355650266,0.4548304488572389,0.0,Short,0,0.0,6.729824070489475,0.04570803717878622,Moderate,0.95,0.6895809637884924,Excellent,0.8718742891365476,0.6252326374412741,0,0,Short,0.460804869644425,don t you know who i am how to stay sane in an era of narcissism entitlement and incivility don t you know who i am how to stay sane in an era of narcissism entitlement and incivility ramani s durvasula phd ramani s durvasula phd unknown unknown,don t you know who i am how to stay sane in an era of narcissism entitlement and incivility ramani s durvasula phd unknown,1
#Girlboss,Sophia Amoruso,4.5,4.5,2272.0,615.0,,Unknown,Unknown,,Unknown,0.0,Both,0,0,0,girlboss,sophia amoruso,0,Unknown,girlboss,sophia amoruso,unknown,unknown,,7.728855823852543,0.6926735600789564,4.49024349646085,2272.0,1,4.5,7.728855823852543,0.6836929186216227,0.0,Short,0,0.0,6.423246963533519,0.03362493165664297,Moderate,0.875,0.6549803048368519,Excellent,0.8089940914510555,0.7392017726277961,0,0,Short,0.6926735600789564,girlboss girlboss sophia amoruso sophia amoruso unknown unknown,girlboss sophia amoruso unknown,1
"#TheRealCinderella: #BestFriendsForever Series, Book 1",Yesenia Vargas,4.3,4.3,179.0,586.0,,Unknown,Unknown,,Unknown,0.0,Both,0,0,0,therealcinderella bestfriendsforever series book 1,yesenia vargas,0,Unknown,therealcinderella bestfriendsforever series book 1,yesenia vargas,unknown,unknown,,5.19295685089021,0.46540186428908537,4.423592207892455,179.0,1,4.3,5.19295685089021,0.4593678426118635,0.0,Short,0,0.0,6.375024819828097,0.0320393657736468,Moderate,0.825,0.591864841131217,Good,0.755059452339365,0.5812648995091971,0,0,Short,0.46540186428908537,therealcinderella bestfriendsforever series book 1 therealcinderella bestfriendsforever series book 1 yesenia vargas yesenia vargas unknown unknown,therealcinderella bestfriendsforever series book 1 yesenia vargas unknown,1
10 Bedtime Stories For Little Kids,div.,0.0,4.4568849170162315,0.0,376.0,,Unknown,Unknown,,Unknown,0.0,Both,0,0,0,10 bedtime stories for little kids,div,0,Unknown,10 bedtime stories for little kids,div,unknown,unknown,,0.0,0.0,4.4568849170162315,0.0,6,4.4568849170162315,0.0,0.0,0.0,Short,0,0.0,5.932245187448011,0.020557681793329688,Budget,0.8642212292540579,0.623391385021028,Good,0.7919722759841488,0.31678891039365953,0,0,Short,0.0,10 bedtime stories for little kids 10 bedtime stories for little kids div div unknown unknown,10 bedtime stories for little kids div unknown,0
10 Essential Pieces of Literature,Khalil Gibran,0.0,4.4568849170162315,0.0,32.0,This Audiobook contains the following works:,Audible Audiobooks & Originals | Classic Literature | Classic Fiction (Books),",#759 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#40 in Classic Literature,#777 in Classic Fiction (Books)",759.0,87 hours and 44 minutes,5264.0,Both,1,1,1,10 essential pieces of literature,khalil gibran,3,Audible Audiobooks & Originals,10 essential pieces of literature,khalil gibran,audible audiobooks originals classic literature classic fiction books,audible audiobooks originals,this audiobook contains the following works,0.0,0.0,4.4568849170162315,1651.0,3,4.318961639005411,7.409741954080923,0.6554641745527436,87.73333333333333,Long,1,0.0013157894736842105,3.4965075614664802,0.0017495899398578458,Budget,0.8642212292540579,0.623391385021028,Good,0.7919722759841488,0.31678891039365953,6,44,Short,0.0,10 essential pieces of literature 10 essential pieces of literature khalil gibran khalil gibran audible audiobooks originals classic literature classic fiction books audible audiobooks originals classic literature classic fiction books this audiobook contains the following works,10 essential pieces of literature khalil gibran audible audiobooks originals,0
10 Essential Success Mantras from the Bhagavad Gita (Rupa Quick Reads),Vimla Patil,4.2,4.2,45.0,233.0,"For thousands of years, the Bhagavad Gita has inspired millions of saints, leaders, scientists, philosophers and ordinary people around the world. In this quick read, Vimla Patil draws valuable success mantras from the philosophical text that are sure to take your life to the next level.",Audible Audiobooks & Originals | Hinduism (Audible Audiobooks & Originals) | Forecasting & Strategic Planning | Leadership,",#3,076 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#45 in Hinduism (Audible Audiobooks & Originals),#57 in Forecasting & Strategic Planning,#136 in Leadership",3076.0,26 minutes,26.0,Both,1,1,1,10 essential success mantras from the bhagavad gita rupa quick reads,vimla patil,4,Audible Audiobooks & Originals,10 essential success mantras from the bhagavad gita rupa quick reads,vimla patil,audible audiobooks originals hinduism audible audiobooks originals forecasting strategic planning leadership,audible audiobooks originals,for thousands of years the bhagavad gita has inspired millions of saints leaders scientists philosophers and ordinary people around the world in this quick read vimla patil draws valuable success mantras from the philosophical text that are sure to take your life to the next level,3.828641396489095,0.3431295300123541,4.440592004731903,45.0,1,4.2,3.828641396489095,0.3386807918764375,0.43333333333333335,Short,1,0.00032499187520311994,5.455321115357702,0.012739201749589939,Budget,0.8,0.6079628053787098,Good,0.7423888416136128,0.5028332546528576,46,288,Medium,0.3431295300123541,10 essential success mantras from the bhagavad gita rupa quick reads 10 essential success mantras from the bhagavad gita rupa quick reads vimla patil vimla patil audible audiobooks originals hinduism audible audiobooks originals forecasting strategic planning leadership audible audiobooks originals hinduism audible audiobooks originals forecasting strategic planning leadership for thousands of years the bhagavad gita has inspired millions of saints leaders scientists philosophers and ordinary people around the world in this quick read vimla patil draws valuable success mantras from the philosophical text that are sure to take your life to the next level,10 essential success mantras from the bhagavad gita rupa quick reads vimla patil audible audiobooks originals,1
10 Judgements That Changed India,Zia Mody,4.4,4.4,221.0,502.0,,Unknown,Unknown,,Unknown,0.0,Catalog Only,0,0,0,10 judgements that changed india,zia mody,0,Unknown,10 judgements that changed india,zia mody,unknown,unknown,,5.402677381872279,0.48419738462583145,4.442687777930306,221.0,1,4.4,5.402677381872279,0.47791967553382053,0.0,Short,0,0.0,6.220590170099739,0.027446692181519957,Budget,0.8500000000000001,0.6099473986263453,Good,0.7779842195879035,0.6017121186106603,0,0,Short,0.48419738462583145,10 judgements that changed india 10 judgements that changed india zia mody zia mody unknown unknown,10 judgements that changed india zia mody unknown,1
10 Masterpieces You Have to Read Before You Die 1,Jane Austen,4.4,4.4,344.0,401.0,This Audiobook contains the following works :,"Audible Audiobooks & Originals | Caribbean & Latin American Literature | English, Irish, Scottish & Welsh Literature | Classic Literature",",#1,485 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#4 in Caribbean & Latin American Literature,#6 in English, Irish, Scottish & Welsh Literature,#77 in Classic Literature",1485.0,102 hours and 19 minutes,6139.0,Both,1,1,1,10 masterpieces you have to read before you die 1,jane austen,4,Audible Audiobooks & Originals,10 masterpieces you have to read before you die 1,jane austen,audible audiobooks originals caribbean latin american literature english irish scottish welsh literature classic literature,audible audiobooks originals,this audiobook contains the following works,5.84354441703136,0.5237086584449976,4.437481435158439,18951.0,9,4.406320546335136,9.849664745838622,0.8712992182806942,102.31666666666666,Long,1,0.0006729475100942127,5.996452088619021,0.02192454893384363,Budget,0.8500000000000001,0.6050172503079121,Good,0.7765051750923736,0.6248272651039479,7,45,Short,0.5237086584449976,10 masterpieces you have to read before you die 1 10 masterpieces you have to read before you die 1 jane austen jane austen audible audiobooks originals caribbean latin american literature english irish scottish welsh literature classic literature audible audiobooks originals caribbean latin american literature english irish scottish welsh literature classic literature this audiobook contains the following works,10 masterpieces you have to read before you die 1 jane austen audible audiobooks originals,1
10 Minutes 38 Seconds in This Strange World,Elif Shafak,4.5,4.5,520.0,752.0,Shortlisted for the Booker Prize 2019,Audible Audiobooks & Originals | Friendship Fiction | Women's Fiction | Political Fiction,",#221 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Friendship Fiction,#3 in Women's Fiction,#3 in Political Fiction",221.0,9 hours and 11 minutes,551.0,Both,1,1,1,10 minutes 38 seconds in this strange world,elif shafak,4,Audible Audiobooks & Originals,10 minutes 38 seconds in this strange world,elif shafak,audible audiobooks originals friendship fiction women s fiction political fiction,audible audiobooks originals,shortlisted for the booker prize 2019,6.255750041753367,0.5606512465936325,4.475812602243382,3292.0,3,4.433333333333334,8.099554282376364,0.7164848242817746,9.183333333333334,Long,1,0.0045045045045045045,6.6240652277998935,0.041115363586659376,Moderate,0.875,0.6413149639291839,Excellent,0.8048944891787551,0.6583485436276816,6,37,Short,0.5606512465936325,10 minutes 38 seconds in this strange world 10 minutes 38 seconds in this strange world elif shafak elif shafak audible audiobooks originals friendship fiction women s fiction political fiction audible audiobooks originals friendship fiction women s fiction political fiction shortlisted for the booker prize 2019,10 minutes 38 seconds in this strange world elif shafak audible audiobooks originals,1
10 Skills for Effective Business Communication: Practical Strategies from the World's Greatest Leaders,Jessica Higgins JD MBA BB,4.6,4.6,45.0,501.0,Succeed in business with practical career strategies and communication skills from the world’s greatest leaders in 10 Skills for Effective Business Communication.,Unknown,Unknown,,Unknown,0.0,Both,1,0,0,10 skills for effective business communication practical strategies from the world s greatest leaders,jessica higgins jd mba bb,0,Unknown,10 skills for effective business communication practical strategies from the world s greatest leaders,jessica higgins jd mba bb,unknown,unknown,succeed in business with practical career strategies and communication skills from the world s greatest leaders in 10 skills for effective business communication,3.828641396489095,0.3431295300123541,4.465961983590255,45.0,1,4.6,3.828641396489095,0.3386807918764375,0.0,Short,0,0.0,6.218600119691729,0.0273920174958994,Budget,0.8999999999999999,0.6319869167535992,Excellent,0.8195960750260797,0.5337161480178443,22,162,Short,0.3431295300123541,10 skills for effective business communication practical strategies from the world s greatest leaders 10 skills for effective business communication practical strategies from the world s greatest leaders jessica higgins jd mba bb jessica higgins jd mba bb unknown unknown succeed in business with practical career strategies and communication skills from the world s greatest leaders in 10 skills for effective business communication,10 skills for effective business communication practical strategies from the world s greatest leaders jessica higgins jd mba bb unknown,1
